finding_id,source,epic_or_package,requirement_ids,severity,status,file_refs,description,proving_test
QMX-F045,lane-L6,E2 qmf-registry,FR-009;2.3-AC1;DEC-0116;SCN-0007:17;L17;P0-assertion-5,high,UNPROVEN,packages/qmf-registry/src/qmf/registry (PromotionCard.sign),"The human-only signer acceptance criterion was deliberately not asserted, on a reading of DEC-0116 the authorities do not support: DEC-0116 carve-out covers the promotion gate workflow, UI and timing, not the signer field of the card. PromotionCard.sign is exported public surface; no test ever calls it with signer=""agent:bot-7"". The L5 chain passes an agent signer only into RegistrationRecord.try_create where the reserved-kind wall, not the signer, produces the refusal. The P0-5 question - can an agent mint a card that authorize_live_promotion accepts - is unanswered and RESULTS reports P0-5 PASS.",TO-BE-WRITTEN qa/tests/epic_02::PromotionCard.sign with a non-human signer must refuse
QMX-F046,lane-L6,E2 qmf-registry,2.3-AC1;CT-13;CT-06;SCN-0007:21,medium,UNPROVEN,"packages/qmf-registry/src/qmf/registry (emit_promotion_event, PromotionEvent)",emit_promotion_event and PromotionEvent are exported from qmf.registry.__all__ and NO file under qa/tests/epic_02 imports either symbol. No test mentions CT-13 or correlation_id; the traceability matrix has no CT-13 row. The clause that the promotion event carries ONLY the card fp1 plus correlation_id and never a second schema is entirely unverified.,TO-BE-WRITTEN qa/tests/epic_02::CT-13 promotion event carries card fp1 + correlation_id and nothing else
QMX-F047,lane-L6,E2 qmf-registry,2.2-AC2;CT-07;DEC-0114,low,UNPROVEN,packages/qmf-registry/src/qmf/registry (rebuild_indexes),"2.2-AC2 demands a destructive proof: losing an index costs a rebuild, never evidence. E2-L3-04 and E2-L4-06 call rebuild_indexes() and compare a view to itself; nothing is ever lost. E2-L4-06 name (dropped_index_...) claims a drop that never happens. E2-L3-04 also carries assert log.current_head(a) == log.current_head(a), a no-op that can never fail.","TO-BE-WRITTEN qa/tests/epic_02::delete the index artifact, rebuild from JSONL lines, assert no evidence lost"
QMX-F048,lane-L6,E2 qmf-registry,2.4-AC4;FM-8,low,UNPROVEN,packages/qmf-registry/src/qmf/registry,"2.4-AC4 has two halves: a storage failure typed refusal is returned AND no partial registration is claimed successful. E2-L4-04 asserts the refusal category and stops; it never reads back to show nothing landed under that fingerprint. The second half protects against a half-written record being visible later. Also E2-L2-06 accept-branch is unreachable (stream owner is 12 chars, generated writers max 6) so the one-writer positive half is unproven.",TO-BE-WRITTEN qa/tests/epic_02::read back after the storage failure
QMX-F049,lane-L6,E3 qmf-data,3.1-AC4;CT-11;R-007,medium,UNPROVEN,"packages/qmf-data/src/qmf/data/store/engines/parquet.py:87,113,129; duckdb_views.py:50,74,113,143,161,181,195; jsonl.py:169,189,212,264,298,368,435,484; sqlite_meta.py:72,82","The R-007 fault matrix injects qmf-data OWN already-normalized StoreEngineError with ""disk full""/""locked""/""truncated""/""corrupt"" as message strings. The real store-library exceptions (pa.ArrowException, duckdb.Error, sqlite3.Error, OSError) are never driven through any of the roughly 20 real translation sites. The suite proves the outer half and skips the inner half, which is exactly where an escape would occur. No test truncates, corrupts, locks or fills a real store file.","TO-BE-WRITTEN qa/tests/epic_03::fault a real engine (truncate a rotated jsonl, corrupt a parquet, make a dir read-only)"
QMX-F050,lane-L6,E3 qmf-data,3.1-AC2;CT-11;DEC-0108;P0-assertion-4,low,UNPROVEN,"packages/qmf-data/src/qmf/data/store/identity.py:13,126; store/append_store.py:12,82; store/registry_room.py:13,90","The ""and alarmed"" half of the true-collision requirement has no assertion anywhere in the 80 nodes - the string ""alarm"" does not appear in any Epic-3 test file. The true-collision arm itself (same hash, differing bytes) is neither tested nor declared untestable; 3.1-U3 tests a presented-fingerprint mismatch, which is a different behaviour that 3.1-P1 asserts as correct on the next lines.","TO-BE-WRITTEN qa/tests/epic_03::colliding-engine fixture, refused and alarmed"
QMX-F051,lane-L6,E3 qmf-data,3.2-AC5;CT-10;CT-12:11;CT-13:17;P0-assertion-7,medium,UNPROVEN,packages/qmf-data/src/qmf/data/source_boundary.py:112; store/backup_input.py:97,"Story 3.2 AC5 cross-world observation read is ENTIRELY uncovered: 3.2-U4, 3.2-P2 and ACC-1 all read same-world, and 3.3-P2 enumeration omits SourceObservationBoundary.read (the CT-10 read AC5 names explicitly) and BackupInput.read_room. Only the simulated-WRITE half is proven. Also uncovered: CT-12 inv.11 cross-world manifest read, and CT-13 inv.17 cross-world journal WRITE.",TO-BE-WRITTEN qa/tests/epic_03::add the two missing read paths to the 3.3-P2 enumeration and drive a cross-world SourceObservationBoundary.read
QMX-F052,lane-L6,E3 qmf-data,3.6-AC3;FM-11;CT-25,medium,UNPROVEN,"packages/qmf-data/src/qmf/data (AppendStore, JournalStore, RegistryRoom write paths)","The planned property 3.6-P1 (FM-11: no write ever crosses role namespaces) was silently replaced by an assertion that event_class_of is total over the seven event types, waived in its own docstring as ""upheld by construction - the logbooks module is read-only"". The writes that could cross roles are the store and journal writes, which the test never touches. RESULTS.md records the substitute under FM-11 as PASS.",TO-BE-WRITTEN qa/tests/epic_03::restore 3.6-P1 against the actual write paths
QMX-F053,lane-L6,E4 qmf-calendar-forex,4.1-b2;CT-02:46;CT-02:15;FR-021,medium,UNPROVEN,extensions/qmf-calendar-forex/src/qmf/calendar_forex/__init__.py,"No test observes TZPATH at all. The only proxy greps lowercased source for the literal substrings ""/usr/share/zoneinfo"", ""fallback"", ""system tzdb"", ""except zoneinfonotfounderror"" - it forbids a WORD, not a behaviour: a future docstring reading ""no fallback path"" fails it while a real fallback written `except Exception: return Path(""/etc/zoneinfo"")` passes it. The direct behavioural check (after import, zoneinfo.TZPATH equals the pinned tzdata zoneinfo dir) is trivial and absent.",TO-BE-WRITTEN qa/tests/epic_04::assert TZPATH is forced to the pinned tzdata zoneinfo directory
QMX-F054,lane-L6,E4 qmf-calendar-forex,4.1-b3;4.3;CT-02:46;FM-1;FR-021,medium,UNPROVEN,extensions/qmf-calendar-forex/src/qmf/calendar_forex/__init__.py:121-133; _registration.py:154-166,"Every mismatch-arm test drives the PRIVATE _tzdb.verify_import_tzdb / _tzdb.provider_state with the pin hand-passed as an argument. The public not-ready branches - cf.get_provider(), cf.get_calendar_identity(), cf.register_forex_17ny() - are never executed by any test, so Story 4.3 registration-on-an-unverified-tzdb path is entirely untested. The untested branch decides whether a fingerprint can be attested against an unverified tzdb, which is FM-1 entire purpose. Constructible: a subprocess with a shadow tzdata package on PYTHONPATH declaring a different IANA version.","TO-BE-WRITTEN qa/tests/epic_04::shadow-tzdata subprocess, assert get_provider and register_forex_17ny both return unavailable dependency"
QMX-F055,lane-L6,E4 qmf-calendar-forex,4.2-b2;CT-02:43;CT-02:40;FR-021,low,UNPROVEN,extensions/qmf-calendar-forex/,"Two silent gaps. (a) Swap-Wednesday is not modeled (V1 accounts are swap-free; the extension models neither swap nor dated financing) has ZERO coverage and zero mention in RESULTS or findings.csv. (b) The session-length-as-data witness: lane row E4-F01 declared it structurally unconstructible and L6 disproved that by running the shipped pin - trading date Mon 1942-02-09 yields a 23.0h open session versus 24.0h on 2026-02-04, both resolving correctly. E4-F01 is excluded from this inventory as a wrong expectation; the untested clause remains. A counter-implementation computing close = open + 24h passes the surviving test.","TO-BE-WRITTEN qa/tests/epic_04::two open sessions of differing length through provider.session_window, plus a swap/financing surface-absence gate"
QMX-F056,lane-L6,E5 qmf-data-backup,CT-14;CT-26;DEC-0109;5.1-AC1,medium,UNPROVEN,packages/qmf-data/src/qmf/data/backup.py; store/backup_input.py,"CT-14 and CT-26 both pin boundary_refusal_categories to exactly {storage failure, policy rejection}. Three tests assert `invalid input` as the correct answer for malformed source_room_role, copy_version=0 and world=""mars"", and then test 5_1_c4 - which was supposed to prove ""not the other five"" - trims `invalid input` OUT of its forbidden set, leaving four. The one category the implementation actually emits outside the ratified set is precisely the one dropped from the check. Either a defect row or an explicit reinterpretation row is owed; needs an operator ruling on whether CT-04 caller-error refusals sit outside boundary_refusal_categories.",TO-BE-WRITTEN qa/tests/epic_05::restore the forbidden set to all five non-boundary categories (blocked on operator ruling OR-05)
QMX-F057,lane-L6,E5 qmf-data-backup,5.1-AC1;5.2-AC1;CT-14;CT-26;DEC-0106,medium,UNPROVEN,packages/qmf-data/src/qmf/data/backup.py,"""int64 UTC nanosecond timestamps pass through verbatim, never re-derived under a later calendar identity or tzdata version"" is untested and unrecorded. 5_1_p1 and the L5 chain prove value plus type survive a round trip in ONE calendar context. The counter-case is constructible today - the helpers already parameterise H.cal(version, tzdata) and H.make_store accepts a seal carrying a calendar identity - and was never constructed. Also unrecorded: CT-26 unlimited-reader-under-one-writer-per-stream, the dry-run stage of the migration sequence (observed only through the implementation own stages_completed constant), CT-26 stdlib-typed boundary signatures, CT-14 nullability, and the topology clause.","TO-BE-WRITTEN qa/tests/epic_05::back up under one CalendarIdentity, restore under a later one, assert int64 bit-identity"
QMX-F058,lane-L6,E6 qmf-data ingest,6.1-AC1;DEC-0117,medium,UNPROVEN,packages/qmf-data/src/qmf/data/ingest.py:54; source_boundary.py:73,"The epic headline structural claim - no intake path writes governed namespaces directly - is asserted through two test-owned observers that are NEVER wired into the object under test. ExternalSourceIngest holds no reference to the recording door, so no possible implementation could make door.admitted non-empty; the TattleStore is constructed, bound to a throwaway name and never armed. The third assertion probes one hardcoded private attribute name. The load-bearing evidence is a three-name import denylist, and ingest.py:54 does import SourceObservationBoundary (which imports EvidenceStore) - the gate passes only because the ratified door is not on the list.",TO-BE-WRITTEN qa/tests/epic_06::inject the recording door into the object graph the ingest path can actually reach
QMX-F059,lane-L6,E6 qmf-data ingest,6.2-AC1;6.4-AC2;CT-15;6.1-AC3,low,UNPROVEN,"packages/qmf-data/src/qmf/data/dukascopy.py (_tick_to_record); calendar_feed.py (_parse_event_time_ns, CalendarFeedImport.run)","Three clauses implemented in source and asserted nowhere: bid and ask source timestamps preserved separately (ProviderRecord.bid_timestamp / ask_timestamp are populated and read by no test), the calendar recorder OWN WriterId, and the calendar event event-time equalling the provider declared instant with its foreign timestamp verbatim (the Dukascopy equivalent IS tested). Two further clauses were silently narrowed with no row: conversion-under-lineage (6.1-AC3) and no-package-dependency-on-qmf-data (6.1-AC1, proxied only by the hollow test in F058).","TO-BE-WRITTEN qa/tests/epic_06::assert bid_timestamp/ask_timestamp survival, recorder WriterId, calendar event-time provenance"
QMX-F060,lane-L6,E7 qmf-indicators,7.2;R9;R29;R30;CT-16;Gate-1,high,UNPROVEN,packages/qmf-indicators/src/qmf/indicators/batch.py:376 (ReferenceKernel._run_reference); streaming.py:1074,"No test in qa/tests/epic_07 ever compares a produced value to the reference function OWN output. The only talib use in the whole suite is get_compatibility/set_compatibility. Story 7.2 demands canonical arithmetic is PROVABLY the arithmetic used. The batch-equals-streaming equality law cannot substitute because StreamingIndicator._recompute() calls compute_batch, so both sides of every equality assertion run the same kernel through the same code path: a rescaling, rounding, descaling or lookback-counting error in _run_reference - or a wholesale re-implementation that still declared the right delegate - leaves all 95 tests green. RESULTS excludes this as ""no fabricated golden number (DEC-0007)"", which mis-states the reason: a live call to the pinned reference is an oracle, not a fabricated golden number.","TO-BE-WRITTEN qa/tests/epic_07::compare compute_batch output to the live talib function per wrapper formula, with an injected bias falsification arm"
QMX-F061,lane-L6,E7 qmf-indicators,7.5;R24;R25;CT-16,medium,UNPROVEN,packages/qmf-indicators/src/qmf/indicators/budget.py:148-161; packages/qmf-indicators/src/qmf/indicators/_bench.py,"Two provable halves left unproven inside an UNPROVEN row (E7-F02) that makes them look deferred. (a) R25 second disjunct - a configuration whose benchmark MISSES A DECLARED BOUND is refused at the Tier-2 gate - is never exercised although the code path exists and returns a refusal; two lines of test. (b) R24 measurement half: _bench.measure_burst / measure_latency / measure_noop_tick / measure_configuration exist and grep of qa/tests/epic_07 returns zero hits for all four, while T7-A18 asserts only that the two rung enum members exist and that two class objects are not each other.","TO-BE-WRITTEN qa/tests/epic_07::evaluate_light_claim with a regressing measurement, and drive _bench.measure_configuration"
QMX-F062,lane-L6,E8 qmf-venue,CT-19 stream granularity;10-AC;SCN-0005;FR-023,high,UNPROVEN,packages/qmf-venue/src/qmf/venue,"The UNKNOWN block - the single load-bearing invariant of this epic - is proven on exactly ONE stream. _helpers.mk_account defaults to ""ACC-1"" and no test ever overrides it; make_account_binding is only ever called with one account and World.LIVE. CT-19 states both bounds: the command stream is the (VenueId, account) pair, COARSER than an account binding (all bindings on an account block together) and STRICTLY FINER than a connection (a shared connection never couples distinct accounts uncertainty). An implementation that blocks the whole connection AND one that blocks only the submitting binding both pass every test in test_l3_blocking.py and test_l4_scenario.py.","TO-BE-WRITTEN qa/tests/epic_08::two accounts on one connection (A blocked, B unaffected) and two bindings on one account (both blocked)"
QMX-F063,lane-L6,E8 qmf-venue,CT-18 amend atomicity;DEC-0148;DEC-0158,high,UNPROVEN,packages/qmf-venue/src/qmf/venue (ProtectionAmendment.try_create),"CT-18 amend-atomicity verify-or-refuse rule has ZERO tests and zero deferral notes: ""until the verification suite establishes it, a Book policy amending BOTH protection sides in one act refuses and single-sided amendment is the only legal V1 path"". No file in the suite mentions atomicity, dual-side, or both-sides amendment; ProtectionAmendment.try_create is only ever driven one side at a time. This is the money-path member of the nullability family PLAN section 3 declared present in this epic.",TO-BE-WRITTEN qa/tests/epic_08::a dual-side amend_protection refuses while a single-sided one is admitted
QMX-F064,lane-L6,E8 qmf-venue,8.2-AC2;AR-07;NFR-05;8.3-AC1;CT-19;CT-18,medium,UNPROVEN,packages/qmf-venue/ ; packages/qmf-venue/pyproject.toml,"Cheap structural clauses with no test, all the same shape as the two findings the lane DID raise. (a) 8.2-AC2 SDK is reference-only, no Spotware code executes in QMX and OpenApiPy carries a pinned Twisted reactor violating the platform-imposing ban: no test greps for ctrader_open_api, twisted or OpenApiPy in venue sources or any pyproject. (b) 8.3-AC1 the tier-1 secret-scan gate rides poe check: no file mentions poe, secret-scan or the check task. (c) CT-19/CT-18 undeclared ORDER PARAMETER refusal, declared in PLAN L2-005 and dropped: OrderType is only ever MARKET. (d) CT-19 sequence resets only on boot with a durable cursor, declared in PLAN L2-022 and dropped: monotonicity only.",TO-BE-WRITTEN qa/tests/epic_08::four one-line structural gates
QMX-F065,lane-L6,E9 qmf-structure,CT-17:25;CT-17:31;9.4-AC4,medium,UNPROVEN,packages/qmf-structure/src/qmf/structure/geometry.py; packages/qmf-structure/src/qmf/structure/budget.py:253,"Two clauses look UNIMPLEMENTED in source and neither was adjudicated. (a) CT-17:25 sloped-object evaluation at an instant crossing the named analytic-to-exact boundary with its declared rounding: SlopedObject stores target_scale and rounding but geometry.py exposes only try_create, fp1_identity and content_fingerprint - there is no evaluation entry point. (b) CT-17:31 CT-16 snapshot/restore obligations apply to families verbatim: zero occurrences of snapshot or restore anywhere in packages/qmf-structure/src. A third clause, the fourth light/heavy bound (synchronous availability), has a refusal path at budget.py:253 that is never exercised because every test builds synchronous_available=True. RESULTS headline ""no source defect was found"" holds only because these were never looked at.","TO-BE-WRITTEN qa/tests/epic_09::adjudicate M-5/M-6 as build-or-amend, and exercise synchronous_available=False (blocked on operator ruling OR-12)"
QMX-F066,lane-L6,E9 qmf-structure,9.4-AC2;CT-17 conformance_register,medium,UNPROVEN,packages/qmf-structure/src/qmf/structure (CONCEPT_WALK_REGISTER builders),"The epic dedicated conformance requirement is certified by an assertion that ANY minted object satisfies: for all 11 concept-walk items the test asserts only isinstance(artifact, Fingerprint) and artifact.value.startswith(""fp1:sha256:""). Worse, 6 of the 11 builders do not encode the distinguishing feature of the concept they are named for - the tolerance cluster has no tolerance and no extremes, the calendar composite is nothing calendar-bearing, the multi-BarSpec nest has no BarSpec, the born-from-invalidation builder discards the parent InvalidationRecord and mints an unrelated child with no edge, the threshold-breach-reversal has no reversal. The counter-case (a concept the library can no longer express) cannot make this test fail.","TO-BE-WRITTEN qa/tests/epic_09::each builder asserts the concept distinguishing structure, verified by breaking one builder linkage"
QMX-F067,lane-L6,E10 qmf-risk,10.8-AC5;10.9-AC4;10.10-AC4;10.3-AC1;10.4-AC1;SCN-0010;CT-31;CT-32;CT-28,high,UNPROVEN,"packages/qmf-risk/src/qmf/risk (control_action, control_window, journal_performance, admission, binding)","Five high-severity Epic-10 coverage rows the lane never filed (F-10-03..F-10-07). (a) 10.8-AC5: colliding actions collapse to one command with the RANK WINNER supplying authority and reason - H7 asserts 1 emit and 2 suppressed but never which action won. (b) 10.9-AC4: never retro-invalidate a window that has had effect, a read-time union fold with PASSED BOUNDS FROZEN - I4 generator forces every bound into the future. (c) 10.10-AC4: a fingerprinted population (binding-record fingerprints, NEVER intervals) - no test asserts an interval-based population is refused. (d) 10.3-AC1: Layer 2 technical shakedown on a demo/paper binding - run_layer2_shakedown is imported and never called. (e) 10.4-AC1: a Bot binds exactly one Book, a Book exactly one BMS at a time, one BMS per account serves many Books - three cardinality rules, none tested.","TO-BE-WRITTEN qa/tests/epic_10::five assertions, one per clause"
QMX-F068,lane-L6,E10 qmf-risk,10.2-AC1;P0-8;FR-027;FR-028;CT-22;CT-23,high,UNPROVEN,packages/qmf-risk/src/qmf/risk/r_faces.py; packages/qmf-risk/src/qmf/risk/door.py,"The frozen-money-face half of P0-8 is mechanized as ""a frozen dataclass is unchanged after a call it was not passed to"": test_B3, test_B4 and test_X4 step 4 all read faces.original_risk_amount before and after calling a free function that never receives faces. These hold for any implementation, including one that re-bases R on every stop move through a different entry point. The epic has two disjoint admission entry points (admit_entry_intent in door.py and admit_entry_r_faces in r_faces.py) and X4 has to FABRICATE the money face with a literal that comes from nowhere in the admission, so P0-8 money half is proven only on a function the door path is never shown to call. The full-loss-price half IS solidly green (B6, F1, F3, X4).","TO-BE-WRITTEN qa/tests/epic_10::admit a position, apply a stop move / protection amendment / budget re-derivation to THAT position, re-read its faces"
QMX-F069,lane-L6,E10 qmf-risk,R-009;CT-04;10.8-AC3;10.10-AC3;CT-25,medium,UNPROVEN,packages/qmf-risk/src/qmf/risk (X1 refusal register; journal_before_dispatch),"(a) R-009 gate test X1 asserts emitted <= register where X2 asserts register == every member of the closed RefusalCategory enum, so emitted <= register is unfalsifiable - no choice of doors can make it fail. R-009 is satisfied structurally by X2; X1 adds nothing and its GREEN reads as coverage evidence it does not provide. (b) test_H5 and test_J3 prove storage-failure-blocks-dispatch by PASSING THE FAILURE IN as journal_result=unpersistable(""disk full""): neither observes ordering, and an implementation that dispatched first and journaled afterwards passes both. The demanded assertion is a happens-before with a fake journal and a fake dispatcher recording call order.","TO-BE-WRITTEN qa/tests/epic_10::an enumerated door inventory with a completeness argument, and a happens-before recorder for journal-before-dispatch"
QMX-F070,lane-L6,E11 qml,11.7-AC1;11.7-AC4;CT-22;CT-23;AD-30,high,UNPROVEN,"packages/qmf-risk/src/qmf/risk/admission_bar.py:452-482,465-469","Lane row E11-F04 declares all of 11.7-AC1 not runtime-falsifiable without a format-1 reference schema. That is true only of the trailing ""and nothing more"" clause. AC1 first and most consequential addition - the two admission_bar.evidence_requirements fields registered_conformant_bot_cite and canonical_assignment_evidence - is falsifiable TODAY by the identical pattern the author already wrote twelve lines earlier for exit_policy, and the gate already exists in source. The requirement spells out its own failure mode: a silent AD-30 field addition an old parser would ignore and thereby ADMIT THE VERY EVIDENCE THEY EXIST TO REFUSE, at the live-money admission bar. An UNPROVEN row with a false reason launders a coverable gap.",TO-BE-WRITTEN qa/tests/epic_11::a format-1 AdmissionBar with registered_conformant_bot_cite=True must refuse; the format-2 one must carry it
QMX-F071,lane-L6,E11 qml,11.1-AC5;11.4-AC3;11.1-AC3;11.2-AC3;CT-33,medium,UNPROVEN,qml/src/qml/conformance/registration.py:132-142; qml/src/qml/footprint/manifest.py:522-548,"(a) 11.1-AC5 is reported PASS off two hardcoded literals: admit_ungoverned_tunnel() takes no argument and unconditionally returns Ok(UngovernedTunnelAccess()) whose fp1_identity hardcodes ticket_required=False and tunnel_open=True. No counter-case exists except by editing source. (b) 11.4-AC3 TRANSITIVE half is entirely unexercised: compute_transitive_union child-confluence recursion, catalog resolution, acyclicity refusal and the bot_direct merge are never driven. (c) 11.1-AC3 positive clause (qml imports qmf-core, qmf-registry and qmf-risk ONLY) is proxied by an absence-of-qmf.venue check that an import of qmf.data would pass. (d) 11.2-AC3 covers only the ExitLogicRef arm; the family-scoped paper starting balance and per-family bench threshold are untested.",TO-BE-WRITTEN qa/tests/epic_11::four clause-level assertions
QMX-F072,lane-L6,E12 qml,12.4-AC2;CT-33;AR-64,high,UNPROVEN,"qml/src/qml/conformance (generate_golden_slice, evaluate_layer2)","The golden-slice generator produces a deterministic identity-bearing conformance fixture KEYED OFF THAT FOOTPRINT - no test asserts it. generate_golden_slice is called four times across the suite, always as an INPUT to something else; no test asserts that two generations from one footprint fingerprint alike, and none asserts a different footprint yields a different golden_slice_fingerprint. The Layer-2 verdict identity carries golden_slice_fingerprint as a key name only. If the generator were footprint-insensitive, every conformance identity in the epic would be hollow and all 73 tests would still pass. Two assertions would close it.",TO-BE-WRITTEN qa/tests/epic_12::two generations from one footprint agree; a different footprint differs
QMX-F073,lane-L6,E12 qml,12.4-AC1;12.4-AC3;12.4-AC4;12.5-AC5;12.3-AC4;12.2-AC3;12.1-AC2;12.1-AC4;12.6-AC1,medium,UNPROVEN,"qml/src/qml/conformance/layer2.py; runner.py:149-150,518-540,608; layer1.py:60-63","Six narrowed clauses with no row. (a) Four Layer-2 verdict arms are never flipped to their failing value: loaded_in_isolation=False, book_present=True, state_bound_holds=False, restore_equivalent=False - each a one-line dataclasses.replace in the pattern the test already uses. (b) 12.5-AC5 ""a Layer-2 conformance failure BEFORE any process is spawned"" has no observer; the source does return pre-spawn but the suite takes that on the module word. (c) 12.3-AC4 ""journaled - never swallowed"" is a self-declared flag refusal.context.get(""journal"") is True; a real qmf.core.sinks.JournalSink exists and nothing is appended to one. (d) 12.2-AC3 protocol-format-version restore component excluded in a comment. (e) 12.1-AC2 knowable-at and structure-lifecycle-fold evidence shapes. (f) 12.1-AC4 no Book module injected into bot logic - construct_bot is never called with a book-bearing read surface. (g) 12.6-AC1 seat-time invocation.","TO-BE-WRITTEN qa/tests/epic_12::flip the four verdict arms, add a spawn recorder, inject a JournalSink"
QMX-F074,lane-L6,E13 qmb/config,13.5-AC3;CT-28;DEC-0143;AD-10;R-004;P0-assertion-4,high,UNPROVEN,qmb/src/qmb/config (binding mint path),"The epic money-safety invariant is never exercised. CT-28 ratified: a binding record that fingerprints EQUAL to an existing one is an invalid input refusal, never AD-10 silent idempotent accept - that path exists for byte-identical re-writes of the same work, NOT for a second pot of money. PLAN planned this as T13-306; the delivered T13-306 is a verbatim duplicate of T13-305 and RESULTS still records ""R-004 satisfied: T13-306 PASS"". Worse, T13-205 asserts the ACCEPT side of the same invariant (a second mint over identical inputs yields an identical fingerprint and is accepted) under a comment about cardinality.","TO-BE-WRITTEN qa/tests/epic_13::mint a binding, attempt a second record fingerprinting equal to it, assert an invalid input refusal"
QMX-F075,lane-L6,E13 qmb/config,13.1-AC5;13.2-AC1;13.2-AC4;13.2-AC5;13.4-AC2;13.4-AC4;13.5-AC2;NFR-02;SC-11,medium,UNPROVEN,root pyproject.toml [tool.poe.tasks.check]; qmb/src/qmb/doors/**; qmb/src/qmb/config/compiler.py,"Six clause-level gaps. (a) The AC names the Tier-1 gate; the suite invokes two of its ten steps - ambient-scan and money-path-scan over qmb, cov-report and pytest are never run. (b) 13.2-AC1/AC5 no door-side or second cache and dumb passive storage are asserted as declared booleans (HOLDS_CACHE is False, HUB_KIND == ""passive-storage""); an implementation that held a cache and set the flag False passes. The T13-007 AST technique over qmb/doors/** would assert it. (c) 13.2-AC4 one as-of frozen for every trial: no test lands a FRESHER as-of into the hub after admission and re-resolves. (d) 13.4-AC2 collision refusal is asserted at the merge_book_bms_keys helper, not at compile_run_config which the AC names. (e) 13.4-AC4 all doors compute the same fingerprint: only the API door is compared; the shipped CLI door never fingerprints anything, and no filesystem write or read occurs anywhere in the suite. (f) 13.5-AC2 the non-overridden fold STAYS RATED is never asserted, so an always-unrated implementation passes.",TO-BE-WRITTEN qa/tests/epic_13::six clause-level assertions plus a full poe check run over qmb
QMX-F076,lane-L6,E14 qmb/runloop,14.2-AC;AR-57;B-2;R11;NFR-03;P0-assertion-13,high,UNPROVEN,"qmb/src/qmb/runloop/loop.py; qa/tests/epic_14/_e14.py:92-95,110-112","The epic flagship P0 guarantee - the six sub-phase order is pinned AND identity-bearing - is nowhere asserted against observable loop behaviour. Pinned order is read from the loop OWN trace / subphase_order(), and RecordingHandler (the one instrument that could observe execution order) records into FOUR SEPARATE LISTS so interleaving is unobservable; two of those lists (scheduled, executed) are never asserted anywhere. Identity-bearing is proved by copying loop_identity(), replacing the subphases value with a reversed tuple, and hashing both - a property of sha256, not of the run loop; run() is never called. A loop that executed sub-phases 2/3/4 in the wrong order, or whose CT-32 fingerprint did not incorporate the order at all, passes green with zero findings.","TO-BE-WRITTEN qa/tests/epic_14::a phase-tagged single-log handler, plus a test-only reordered driver whose RUN produces a different CT-32 fingerprint"
QMX-F077,lane-L6,E14 qmb/runloop,14.2-AC;R8;AR-56;14.5-AC;14.4-AC;FR-036;B-7;CT-12;CT-23;FR-032,high,UNPROVEN,qmb/src/qmb/runloop/loop.py; qmb/src/qmb/execution/handler.py,"Seven unasserted clauses. (a) A rested intent actually FILLING on a later slice: every test asserts out.filled == () (the absence of a fill) and handler.executed is never asserted - a loop that never executed a resting order passes every test in Group B and the Group I property. (b) Sub-phase 2 scheduled position-level events (financing) has zero behavioural coverage. (c) Ports bound PER RUN-CONFIG: nothing binds a port through a ResolvedRunConfig or drives a fill through the loop. (d) The CT-29 exit minted against the run world=replay binding. (e) Bot-proposed exits are risk-monotonic. (f) Warm-up length SOURCED FROM the AD-21 split manifest: every warm-up test passes embargo as a run() parameter, which is arguably the second window the AC forbids. (g) world DERIVED from provenance rather than caller-declared at the run seam: the helper sets data_provenance and world as two independent constructor arguments.",TO-BE-WRITTEN qa/tests/epic_14::seven clause-level assertions
QMX-F078,lane-L6,E14 qmb/runloop,14.6-AC;14.5-AC;B-4;AR-56;CT-23;R21;R29,medium,UNPROVEN,qmb/src/qmb/runloop/observe.py:51; ports.py:97-98; bars.py:84-87; warmup.py:42-43; frontier.py:37,"Twelve Final[bool]/Final[str] compliance constants exported by the source under test are asserted directly as evidence (CLOCK_DOES_NOT_CHOOSE_WORLD, COMPLETED_BOUNDARY_ONLY, FORMING_BAR_ACTIONABLE, PARTIAL_GOVERNED_RESULT_ON_ABORT, CLAIMS_EDGE, SPENDS_SPLIT_BUDGET and others), plus self-reported fields in refusal contexts and identity dicts. Two carry the WHOLE weight of their requirement: 14.6-AC ""the pure run() returns a terminal refusal and WRITES NOTHING"" is observed as four self-reports of an absence of writes rather than an injected sink asserted empty; and 14.5-AC full-loss-price-before-any-open is asserted as ident[""full_loss_before_open""] is True while the actual enforcement in qmb/execution/risk.py is never exercised, and require_authorized_intent is only ever passed junk so a function that refused EVERY input including a valid CT-23 intent would pass.","TO-BE-WRITTEN qa/tests/epic_14::injected ledger/log/output sinks asserted empty after an abort, and a positive-admission case"
